Date	AAVE
2021-09-02	413.05
2021-09-01	392.06
2021-08-31	357.68
2021-08-30	364.58
2021-08-29	367.21
2021-08-28	372.99
2021-08-27	351.27
2021-08-26	384.45
2021-08-25	378.63
2021-08-24	408.74
2021-08-23	401.24
2021-08-22	400.13
2021-08-21	409.23
2021-08-20	404.96
2021-08-19	380.91
2021-08-18	381.34
2021-08-17	412.90
2021-08-16	410.54
2021-08-15	414.72
2021-08-14	427.57
2021-08-13	392.85
2021-08-12	403.26
2021-08-11	384.25
2021-08-10	374.39
2021-08-09	360.84
2021-08-08	385.27
2021-08-07	369.73
2021-08-06	373.00
2021-08-05	339.05
2021-08-04	308.77
2021-08-03	320.69
2021-08-02	316.80
2021-08-01	331.07
2021-07-31	320.67
2021-07-30	311.88
2021-07-29	297.85
2021-07-28	300.36
2021-07-27	302.86
2021-07-26	288.15
2021-07-25	287.89
2021-07-24	289.83
2021-07-23	278.76
2021-07-22	259.18
2021-07-21	223.14
2021-07-20	238.38
2021-07-19	253.94
2021-07-18	253.27
2021-07-17	253.37
2021-07-16	271.90
2021-07-15	279.45
2021-07-14	271.18
2021-07-13	297.05
2021-07-12	304.91
2021-07-11	294.70
2021-07-10	302.94
2021-07-09	290.82
2021-07-08	315.19
2021-07-07	316.51
2021-07-06	308.00
2021-07-05	277.11
2021-07-04	259.40
2021-07-03	234.21
2021-07-02	230.81
2021-07-01	250.71
2021-06-30	238.12
2021-06-29	227.00
2021-06-28	202.76
2021-06-27	187.31
2021-06-26	187.07
2021-06-25	211.20
2021-06-24	207.66
2021-06-23	206.03
2021-06-22	212.56
2021-06-21	272.92
2021-06-20	255.24
2021-06-19	265.40
2021-06-18	293.53
2021-06-17	290.30
2021-06-16	311.93
2021-06-15	319.40
2021-06-14	316.28
2021-06-13	278.74
2021-06-12	285.44
2021-06-11	310.25
2021-06-10	339.01
2021-06-09	330.01
2021-06-08	334.94
2021-06-07	365.47
2021-06-06	356.80
2021-06-05	373.40
2021-06-04	398.55
2021-06-03	384.44
2021-06-02	372.91
2021-06-01	382.43
2021-05-31	324.58
2021-05-30	297.75
2021-05-29	319.96
2021-05-28	371.61
2021-05-27	415.20
2021-05-26	370.81
2021-05-25	386.97
2021-05-24	294.32
2021-05-23	335.39
2021-05-22	373.80
2021-05-21	467.53
2021-05-20	412.88
2021-05-19	629.23
2021-05-18	572.22
2021-05-17	527.26
2021-05-16	515.71
2021-05-15	594.44
2021-05-14	508.92
2021-05-13	508.13
2021-05-12	457.4
2021-05-11	433.16
2021-05-10	459.3
2021-05-09	466.57
2021-05-08	445.22
2021-05-07	452.41
2021-05-06	479.77
2021-05-05	452.66
2021-05-04	519.34
2021-05-03	480.51
2021-05-02	503.71
2021-05-01	444.87
2021-04-30	439.3
2021-04-29	461.08
2021-04-28	440.6
2021-04-27	405.54
2021-04-26	347.64
2021-04-25	317.67
2021-04-24	345.77
2021-04-23	361.73
2021-04-22	353.46
2021-04-21	361.58
2021-04-20	346.12
2021-04-19	381.82
2021-04-18	430.18
2021-04-17	441.31
2021-04-16	466.27
2021-04-15	428.94
2021-04-14	398.21
2021-04-13	397.28
2021-04-12	372.46
2021-04-11	367.49
2021-04-10	359.37
2021-04-09	377.93
2021-04-08	351.39
2021-04-07	384.01
2021-04-06	398.23
2021-04-05	404.39
2021-04-04	385.53
2021-04-03	406.88
2021-04-02	377.51
2021-04-01	377.18
2021-03-31	
2021-03-30	
2021-03-29	
2021-03-28	
2021-03-27	
2021-03-26	
2021-03-25	
2021-03-24	
2021-03-23	
2021-03-22	
2021-03-21	
2021-03-20	
2021-03-19	
2021-03-18	
2021-03-17	
2021-03-16	
2021-03-15	
2021-03-14	
2021-03-13	
2021-03-12	
2021-03-11	
2021-03-10	
2021-03-09	
2021-03-08	
2021-03-07	
2021-03-06	
2021-03-05	
2021-03-04	
2021-03-03	
2021-03-02	
2021-03-01	
2021-02-28	
2021-02-27	
2021-02-26	
2021-02-25	
2021-02-24	
2021-02-23	
2021-02-22	
2021-02-21	
2021-02-20	
2021-02-19	
2021-02-18	
2021-02-17	
2021-02-16	
2021-02-15	
2021-02-14	
2021-02-13	
2021-02-12	
2021-02-11	
2021-02-10	
2021-02-09	
2021-02-08	
2021-02-07	
2021-02-06	
2021-02-05	
2021-02-04	
2021-02-03	
2021-02-02	
2021-02-01	
2021-01-31	
2021-01-30	
2021-01-29	
2021-01-28	
2021-01-27	
2021-01-26	
2021-01-25	
2021-01-24	
2021-01-23	
2021-01-22	
2021-01-21	
2021-01-20	
2021-01-19	
2021-01-18	
2021-01-17	
2021-01-16	
2021-01-15	
2021-01-14	
2021-01-13	
2021-01-12	
2021-01-11	
2021-01-10	
2021-01-09	
2021-01-08	
2021-01-07	
2021-01-06	
2021-01-05	
2021-01-04	
2021-01-03	
2021-01-02	
2021-01-01	
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
