Date	USDJPY
2021-10-17	114.31
2021-10-16	114.31
2021-10-15	114.31
2021-10-14	113.59
2021-10-13	113.49
2021-10-12	113.69
2021-10-11	112.15
2021-10-10	112.15
2021-10-09	112.15
2021-10-08	112.15
2021-10-07	111.5
2021-10-06	111.33
2021-10-05	111.39
2021-10-04	110.94
2021-10-03	110.97
2021-10-02	110.97
2021-10-01	110.97
2021-09-30	111.5
2021-09-29	111.83
2021-09-28	111.33
2021-09-27	110.97
2021-09-26	110.72
2021-09-25	110.72
2021-09-24	110.72
2021-09-23	110.17
2021-09-22	109.59
2021-09-21	109.33
2021-09-20	109.47
2021-09-19	109.94
2021-09-18	109.94
2021-09-17	109.94
2021-09-16	109.67
2021-09-15	109.4
2021-09-14	109.66
2021-09-13	109.94
2021-09-12	109.93
2021-09-11	109.93
2021-09-10	109.93
2021-09-09	109.76
2021-09-08	110.32
2021-09-07	110.17
2021-09-06	109.64
2021-09-05	109.64
2021-09-04	109.64
2021-09-03	109.64
2021-09-02	110.01
2021-09-01	110.03
2021-08-31	110.05
2021-08-30	109.91
2021-08-29	109.84
2021-08-28	109.84
2021-08-27	109.84
2021-08-26	110.09
2021-08-25	110.03
2021-08-24	109.68
2021-08-23	109.78
2021-08-22	109.77
2021-08-21	109.77
2021-08-20	109.77
2021-08-19	109.75
2021-08-18	109.92
2021-08-17	109.59
2021-08-16	109.26
2021-08-15	109.75
2021-08-14	109.75
2021-08-13	109.75
2021-08-12	110.36
2021-08-11	110.47
2021-08-10	110.54
2021-08-09	110.25
2021-08-08	110.22
2021-08-07	110.22
2021-08-06	110.22
2021-08-05	109.75
2021-08-04	109.44
2021-08-03	109.09
2021-08-02	109.22
2021-08-01	109.7
2021-07-31	109.7
2021-07-30	109.7
2021-07-29	109.53
2021-07-28	110.06
2021-07-27	109.64
2021-07-26	110.31
2021-07-25	110.52
2021-07-24	110.52
2021-07-23	110.52
2021-07-22	110.1
2021-07-21	110.22
2021-07-20	109.92
2021-07-19	109.45
2021-07-18	110.13
2021-07-17	110.13
2021-07-16	110.13
2021-07-15	110.05
2021-07-14	110.03
2021-07-13	110.36
2021-07-12	110.36
2021-07-11	110.18
2021-07-10	110.18
2021-07-09	110.18
2021-07-08	109.82
2021-07-07	110.62
2021-07-06	110.66
2021-07-05	111.28
2021-07-04	111.28
2021-07-03	111.28
2021-07-02	111.28
2021-07-01	111.56
2021-06-30	111.05
2021-06-29	110.53
2021-06-28	110.5
2021-06-27	110.78
2021-06-26	110.78
2021-06-25	110.78
2021-06-24	110.91
2021-06-23	110.86
2021-06-22	110.75
2021-06-21	110.22
2021-06-20	110.21
2021-06-19	110.21
2021-06-18	110.21
2021-06-17	110.28
2021-06-16	109.88
2021-06-15	110.12
2021-06-14	109.98
2021-06-13	109.75
2021-06-12	109.75
2021-06-11	109.75
2021-06-10	109.49
2021-06-09	109.61
2021-06-08	109.47
2021-06-07	109.25
2021-06-06	109.42
2021-06-05	109.42
2021-06-04	109.42
2021-06-03	110.28
2021-06-02	109.59
2021-06-01	109.43
2021-05-31	109.83
2021-05-30	109.83
2021-05-29	109.83
2021-05-28	109.83
2021-05-27	109.81
2021-05-26	109.1
2021-05-25	108.95
2021-05-24	108.81
2021-05-23	108.94
2021-05-22	108.94
2021-05-21	108.94
2021-05-20	108.79
2021-05-19	108.76
2021-05-18	109.01
2021-05-17	109.17
2021-05-16	109.37
2021-05-15	109.37
2021-05-14	109.37
2021-05-13	109.56
2021-05-12	109.53
2021-05-11	108.53
2021-05-10	108.7
2021-05-09	108.52
2021-05-08	108.52
2021-05-07	108.52
2021-05-06	109.17
2021-05-05	109.27
2021-05-04	109.34
2021-05-03	109.08
2021-05-02	109.33
2021-05-01	109.33
2021-04-30	109.33
2021-04-29	108.94
2021-04-28	108.81
2021-04-27	108.56
2021-04-26	108.12
2021-04-25	107.94
2021-04-24	107.94
2021-04-23	107.94
2021-04-22	108.17
2021-04-21	108.09
2021-04-20	108.07
2021-04-19	108.09
2021-04-18	108.78
2021-04-17	108.78
2021-04-16	108.78
2021-04-15	108.78
2021-04-14	108.93
2021-04-13	109.19
2021-04-12	109.43
2021-04-11	109.64
2021-04-10	109.64
2021-04-09	109.64
2021-04-08	109.25
2021-04-07	109.67
2021-04-06	109.83
2021-04-05	110.08
2021-04-04	110.67
2021-04-03	110.67
2021-04-02	110.67
2021-04-01	110.61
2021-03-31	110.61
2021-03-30	110.19
2021-03-29	109.73
2021-03-28	109.55
2021-03-27	109.55
2021-03-26	109.55
2021-03-25	109.13
2021-03-24	108.81
2021-03-23	108.61
2021-03-22	108.67
2021-03-21	108.85
2021-03-20	108.85
2021-03-19	108.85
2021-03-18	108.97
2021-03-17	109.22
2021-03-16	109.01
2021-03-15	109.11
2021-03-14	108.87
2021-03-13	108.87
2021-03-12	108.87
2021-03-11	108.44
2021-03-10	108.58
2021-03-09	108.64
2021-03-08	108.92
2021-03-07	108.24
2021-03-06	108.24
2021-03-05	108.24
2021-03-04	107.58
2021-03-03	106.92
2021-03-02	106.75
2021-03-01	106.68
2021-02-28	106.64
2021-02-27	106.64
2021-02-26	106.64
2021-02-25	106.22
2021-02-24	105.91
2021-02-23	105.21
2021-02-22	105.06
2021-02-21	105.58
2021-02-20	105.58
2021-02-19	105.58
2021-02-18	105.69
2021-02-17	105.83
2021-02-16	105.88
2021-02-15	104.94
2021-02-14	104.94
2021-02-13	104.94
2021-02-12	104.94
2021-02-11	104.75
2021-02-10	104.67
2021-02-09	104.62
2021-02-08	105.19
2021-02-07	105.44
2021-02-06	105.44
2021-02-05	105.44
2021-02-04	105.43
2021-02-03	105.05
2021-02-02	105.09
2021-02-01	104.97
2021-01-31	104.64
2021-01-30	104.64
2021-01-29	104.64
2021-01-28	104.31
2021-01-27	104.09
2021-01-26	103.69
2021-01-25	103.78
2021-01-24	103.76
2021-01-23	103.76
2021-01-22	103.76
2021-01-21	103.57
2021-01-20	103.86
2021-01-19	103.86
2021-01-18	103.8
2021-01-17	103.8
2021-01-16	103.8
2021-01-15	103.8
2021-01-14	103.66
2021-01-13	103.91
2021-01-12	104.09
2021-01-11	104.16
2021-01-10	103.89
2021-01-09	103.89
2021-01-08	103.89
2021-01-07	103.84
2021-01-06	103.25
2021-01-05	102.7
2021-01-04	103.19
2021-01-03	103.19
2021-01-02	103.19
2021-01-01	103.19
2020-12-31	103.19
2020-12-30	103.31
2020-12-29	103.5
2020-12-28	103.84
2020-12-27	103.52
2020-12-26	103.52
2020-12-25	103.52
2020-12-24	103.52
2020-12-23	103.52
2020-12-22	103.62
2020-12-21	103.44
2020-12-20	103.35
2020-12-19	103.35
2020-12-18	103.35
2020-12-17	103.13
2020-12-16	103.59
2020-12-15	103.69
2020-12-14	104.06
2020-12-13	103.88
2020-12-12	103.88
2020-12-11	103.88
2020-12-10	104.3
2020-12-09	104.28
2020-12-08	104.14
2020-12-07	104.01
2020-12-06	104.16
2020-12-05	104.16
2020-12-04	104.16
2020-12-03	103.77
2020-12-02	104.52
2020-12-01	104.4
2020-11-30	104.38
2020-11-29	104.39
2020-11-28	104.39
2020-11-27	104.39
2020-11-26	104.39
2020-11-25	104.39
2020-11-24	104.61
2020-11-23	104.42
2020-11-22	103.81
2020-11-21	103.81
2020-11-20	103.81
2020-11-19	103.85
2020-11-18	103.72
2020-11-17	104.2
2020-11-16	104.54
2020-11-15	104.61
2020-11-14	104.61
2020-11-13	104.61
2020-11-12	105.16
2020-11-11	105.36
2020-11-10	105.36
2020-11-09	105.58
2020-11-08	103.32
2020-11-07	103.32
2020-11-06	103.32
2020-11-05	103.67
2020-11-04	104.39
