Date	TFUEL
2021-09-04	0.369061
2021-09-03	0.344608
2021-09-02	0.341604
2021-09-01	0.330901
2021-08-31	0.324841
2021-08-30	0.329676
2021-08-29	0.329098
2021-08-28	0.336953
2021-08-27	0.318266
2021-08-26	0.342421
2021-08-25	0.332059
2021-08-24	0.351148
2021-08-23	0.337462
2021-08-22	0.337622
2021-08-21	0.338246
2021-08-20	0.331413
2021-08-19	0.324317
2021-08-18	0.332023
2021-08-17	0.357887
2021-08-16	0.345297
2021-08-15	0.348297
2021-08-14	0.352106
2021-08-13	0.333899
2021-08-12	0.341327
2021-08-11	0.3082
2021-08-10	0.305382
2021-08-09	0.285902
2021-08-08	0.310673
2021-08-07	0.315773
2021-08-06	0.326501
2021-08-05	0.305079
2021-08-04	0.294188
2021-08-03	0.303605
2021-08-02	0.310448
2021-08-01	0.32937
2021-07-31	0.333085
2021-07-30	0.333187
2021-07-29	0.329174
2021-07-28	0.341884
2021-07-27	0.333243
2021-07-26	0.355619
2021-07-25	0.320695
2021-07-24	0.285553
2021-07-23	0.281635
2021-07-22	0.271981
2021-07-21	0.230491
2021-07-20	0.260789
2021-07-19	0.296017
2021-07-18	0.275817
2021-07-17	0.262551
2021-07-16	0.289474
2021-07-15	0.300409
2021-07-14	0.311316
2021-07-13	0.332171
2021-07-12	0.346431
2021-07-11	0.342614
2021-07-10	0.35839
2021-07-09	0.382123
2021-07-08	0.353286
2021-07-07	0.354015
2021-07-06	0.353659
2021-07-05	0.375558
2021-07-04	0.377188
2021-07-03	0.368715
2021-07-02	0.378243
2021-07-01	0.411991
2021-06-30	0.427766
2021-06-29	0.428964
2021-06-28	0.431534
2021-06-27	0.424532
2021-06-26	0.426297
2021-06-25	0.486642
2021-06-24	0.478774
2021-06-23	0.452857
2021-06-22	0.459373
2021-06-21	0.589522
2021-06-20	0.589739
2021-06-19	0.580015
2021-06-18	0.562524
2021-06-17	0.503269
2021-06-16	0.498721
2021-06-15	0.544747
2021-06-14	0.575076
2021-06-13	0.423947
2021-06-12	0.482242
2021-06-11	0.531011
2021-06-10	0.575974
2021-06-09	0.577913
2021-06-08	0.477979
2021-06-07	0.459268
2021-06-06	0.444525
2021-06-05	0.43092
2021-06-04	0.431529
2021-06-03	0.367237
2021-06-02	0.364899
2021-06-01	0.339096
2021-05-31	0.304624
2021-05-30	0.286372
2021-05-29	0.293539
2021-05-28	0.31194
2021-05-27	0.307073
2021-05-26	0.278913
2021-05-25	0.279354
2021-05-24	0.252023
2021-05-23	
2021-05-22	
2021-05-21	
2021-05-20	
2021-05-19	
2021-05-18	
2021-05-17	
2021-05-16	
2021-05-15	
2021-05-14	
2021-05-13	
2021-05-12	
2021-05-11	
2021-05-10	
2021-05-09	
2021-05-08	
2021-05-07	
2021-05-06	
2021-05-05	
2021-05-04	
2021-05-03	0.3577
2021-05-02	0.3591
2021-05-01	0.3582
2021-04-30	0.3361
2021-04-29	0.3142
2021-04-28	0.3213
2021-04-27	0.3023
2021-04-26	0.2667
2021-04-25	0.2385
2021-04-24	0.265
2021-04-23	0.251
2021-04-22	0.29
2021-04-21	0.3108
2021-04-20	0.3006
2021-04-19	0.3181
2021-04-18	0.3608
2021-04-17	0.389
2021-04-16	0.3636
2021-04-15	0.3349
2021-04-14	0.3521
2021-04-13	0.358
2021-04-12	0.355
2021-04-11	0.3615
2021-04-10	0.3758
2021-04-09	0.3855
2021-04-08	0.3606
2021-04-07	0.3484
2021-04-06	0.377
2021-04-05	0.4121
2021-04-04	0.3957
2021-04-03	0.4403
2021-04-02	0.4166
2021-04-01	0.416
2021-03-31	0.4113
2021-03-30	0.4123
2021-03-29	0.4118
2021-03-28	0.4046
2021-03-27	0.4156
2021-03-26	0.4185
2021-03-25	0.3958
2021-03-24	0.4804
2021-03-23	0.3793
2021-03-22	0.3341
2021-03-21	0.3189
2021-03-20	0.3427
2021-03-19	0.3529
2021-03-18	0.3467
2021-03-17	0.353
2021-03-16	0.344
2021-03-15	0.3753
2021-03-14	0.37
2021-03-13	0.3939
2021-03-12	0.3614
2021-03-11	0.2525
2021-03-10	0.1828
2021-03-09	0.1708
2021-03-08	0.1469
2021-03-07	0.1409
2021-03-06	0.1403
2021-03-05	0.1434
2021-03-04	0.1288
2021-03-03	0.1227
2021-03-02	0.1121
2021-03-01	0.0928
2021-02-28	0.0949
2021-02-27	0.0829
2021-02-26	0.0797
2021-02-25	0.0873
2021-02-24	0.0842
2021-02-23	0.0923
2021-02-22	0.0906
2021-02-21	0.0896
2021-02-20	0.0866
2021-02-19	0.0611
2021-02-18	0.0584
2021-02-17	0.0583
2021-02-16	0.0607
2021-02-15	0.0575
2021-02-14	0.0536
2021-02-13	0.0477
2021-02-12	0.045
2021-02-11	0.0419
2021-02-10	0.0412
2021-02-09	0.0386
2021-02-08	0.0353
2021-02-07	0.0339
2021-02-06	0.0348
2021-02-05	0.0323
2021-02-04	0.0324
2021-02-03	0.0301
2021-02-02	0.029
2021-02-01	0.0278
2021-01-31	0.0286
2021-01-30	0.0294
2021-01-29	0.0292
2021-01-28	0.0293
2021-01-27	0.0331
2021-01-26	0.0291
2021-01-25	0.0285
2021-01-24	0.0293
2021-01-23	0.0273
2021-01-22	0.0249
2021-01-21	0.0297
2021-01-20	0.0293
2021-01-19	0.0273
2021-01-18	0.0265
2021-01-17	0.0275
2021-01-16	0.0277
2021-01-15	0.0293
2021-01-14	0.0285
2021-01-13	0.0253
2021-01-12	0.0248
2021-01-11	0.0263
2021-01-10	0.0276
2021-01-09	0.0266
2021-01-08	0.0282
2021-01-07	0.0306
2021-01-06	0.0302
2021-01-05	0.0293
2021-01-04	0.0321
2021-01-03	0.0378
2021-01-02	0.0337
2021-01-01	0.0337
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
