Date	ALGO
2021-09-03	1.1455
2021-09-02	1.1589
2021-09-01	1.1158
2021-08-31	1.0198
2021-08-30	1.0227
2021-08-29	1.0383
2021-08-28	1.0661
2021-08-27	0.9906
2021-08-26	1.0653
2021-08-25	1.04
2021-08-24	1.1595
2021-08-23	1.1581
2021-08-22	1.1492
2021-08-21	1.1385
2021-08-20	1.0443
2021-08-19	0.9226
2021-08-18	0.8838
2021-08-17	0.9455
2021-08-16	0.9958
2021-08-15	0.9327
2021-08-14	0.9548
2021-08-13	0.8849
2021-08-12	0.9123
2021-08-11	0.8832
2021-08-10	0.8568
2021-08-09	0.8251
2021-08-08	0.8763
2021-08-07	0.855
2021-08-06	0.8508
2021-08-05	0.8286
2021-08-04	0.8189
2021-08-03	0.8179
2021-08-02	0.8128
2021-08-01	0.8374
2021-07-31	0.8532
2021-07-30	0.8464
2021-07-29	0.846
2021-07-28	0.8571
2021-07-27	0.8487
2021-07-26	0.8903
2021-07-25	0.8272
2021-07-24	0.8075
2021-07-23	0.7963
2021-07-22	0.7687
2021-07-21	0.6956
2021-07-20	0.7498
2021-07-19	0.7992
2021-07-18	0.7848
2021-07-17	0.7839
2021-07-16	0.8338
2021-07-15	0.8588
2021-07-14	0.8748
2021-07-13	0.8686
2021-07-12	0.8928
2021-07-11	0.8925
2021-07-10	0.9057
2021-07-09	0.8669
2021-07-08	0.9068
2021-07-07	0.9128
2021-07-06	0.8741
2021-07-05	0.8804
2021-07-04	0.877
2021-07-03	0.8464
2021-07-02	0.835
2021-07-01	0.8823
2021-06-30	0.8884
2021-06-29	0.8425
2021-06-28	0.8348
2021-06-27	0.8106
2021-06-26	0.7944
2021-06-25	0.8738
2021-06-24	0.8334
2021-06-23	0.7424
2021-06-22	0.7544
2021-06-21	0.9342
2021-06-20	0.9379
2021-06-19	0.992
2021-06-18	1.065
2021-06-17	1.0164
2021-06-16	1.0327
2021-06-15	1.0712
2021-06-14	1.0408
2021-06-13	0.9892
2021-06-12	0.9734
2021-06-11	1.047
2021-06-10	1.0397
2021-06-09	0.9406
2021-06-08	0.9629
2021-06-07	1.0255
2021-06-06	0.9767
2021-06-05	1.0294
2021-06-04	1.1103
2021-06-03	1.0192
2021-06-02	0.8956
2021-06-01	0.9363
2021-05-31	0.849
2021-05-30	0.8297
2021-05-29	0.8991
2021-05-28	0.9721
2021-05-27	1.0239
2021-05-26	0.9766
2021-05-25	0.9792
2021-05-24	0.8201
2021-05-23	
2021-05-22	
2021-05-21	
2021-05-20	
2021-05-19	
2021-05-18	
2021-05-17	
2021-05-16	
2021-05-15	
2021-05-14	
2021-05-13	1.2144
2021-05-12	1.4737
2021-05-11	1.371
2021-05-10	1.5147
2021-05-09	1.5173
2021-05-08	1.5775
2021-05-07	1.5445
2021-05-06	1.4423
2021-05-05	1.2747
2021-05-04	1.4362
2021-05-03	
2021-05-02	
2021-05-01	
2021-04-30	
2021-04-29	
2021-04-28	
2021-04-27	
2021-04-26	
2021-04-25	
2021-04-24	
2021-04-23	
2021-04-22	
2021-04-21	
2021-04-20	
2021-04-19	
2021-04-18	
2021-04-17	
2021-04-16	
2021-04-15	
2021-04-14	
2021-04-13	
2021-04-12	
2021-04-11	
2021-04-10	
2021-04-09	
2021-04-08	
2021-04-07	
2021-04-06	
2021-04-05	
2021-04-04	
2021-04-03	
2021-04-02	
2021-04-01	
2021-03-31	
2021-03-30	
2021-03-29	
2021-03-28	
2021-03-27	
2021-03-26	
2021-03-25	
2021-03-24	
2021-03-23	
2021-03-22	
2021-03-21	
2021-03-20	
2021-03-19	
2021-03-18	
2021-03-17	
2021-03-16	
2021-03-15	
2021-03-14	
2021-03-13	
2021-03-12	
2021-03-11	
2021-03-10	
2021-03-09	
2021-03-08	
2021-03-07	
2021-03-06	
2021-03-05	
2021-03-04	
2021-03-03	
2021-03-02	
2021-03-01	
2021-02-28	
2021-02-27	
2021-02-26	
2021-02-25	
2021-02-24	
2021-02-23	
2021-02-22	
2021-02-21	
2021-02-20	
2021-02-19	
2021-02-18	
2021-02-17	
2021-02-16	
2021-02-15	
2021-02-14	
2021-02-13	
2021-02-12	
2021-02-11	
2021-02-10	
2021-02-09	
2021-02-08	
2021-02-07	
2021-02-06	
2021-02-05	
2021-02-04	
2021-02-03	
2021-02-02	
2021-02-01	
2021-01-31	
2021-01-30	
2021-01-29	
2021-01-28	
2021-01-27	
2021-01-26	
2021-01-25	
2021-01-24	
2021-01-23	
2021-01-22	
2021-01-21	
2021-01-20	
2021-01-19	
2021-01-18	
2021-01-17	
2021-01-16	
2021-01-15	
2021-01-14	
2021-01-13	
2021-01-12	
2021-01-11	
2021-01-10	
2021-01-09	
2021-01-08	
2021-01-07	
2021-01-06	
2021-01-05	
2021-01-04	
2021-01-03	
2021-01-02	
2021-01-01	
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
