Date	CRV
2021-10-22	2.8568
2021-10-21	2.9341
2021-10-20	2.7928
2021-10-19	2.7948
2021-10-18	2.8690
2021-10-17	2.9082
2021-10-16	2.8960
2021-10-15	2.8865
2021-10-14	2.9608
2021-10-13	2.6863
2021-10-12	2.6981
2021-10-11	2.7015
2021-10-10	2.9046
2021-10-09	2.9502
2021-10-08	2.8096
2021-10-07	2.7387
2021-10-06	2.9368
2021-10-05	2.8802
2021-10-04	2.8145
2021-10-03	2.5379
2021-10-02	2.5370
2021-10-01	2.3352
2021-09-30	2.2891
2021-09-29	2.2314
2021-09-28	2.3717
2021-09-27	2.5549
2021-09-26	2.3129
2021-09-25	2.4280
2021-09-24	2.7907
2021-09-23	2.4504
2021-09-22	2.1945
2021-09-21	2.4077
2021-09-20	3.0417
2021-09-19	2.8789
2021-09-18	2.8037
2021-09-17	3.1059
2021-09-16	3.0165
2021-09-15	2.7951
2021-09-14	2.3650
2021-09-13	2.4300
2021-09-12	2.2715
2021-09-11	2.1422
2021-09-10	2.3738
2021-09-09	1.9270
2021-09-08	1.9864
2021-09-07	2.4857
2021-09-06	2.4795
2021-09-05	2.2722
2021-09-04	2.2072
2021-09-03	2.2075
2021-09-02	2.3106
2021-09-01	2.2369
2021-08-31	2.0980
2021-08-30	2.1070
2021-08-29	2.0959
2021-08-28	2.1836
2021-08-27	2.0564
2021-08-26	2.1992
2021-08-25	2.0998
2021-08-24	2.3690
2021-08-23	2.4452
2021-08-22	2.2231
2021-08-21	2.2709
2021-08-20	2.1523
2021-08-19	1.9180
2021-08-18	1.9226
2021-08-17	2.1260
2021-08-16	2.2226
2021-08-15	2.2636
2021-08-14	2.3606
2021-08-13	2.0343
2021-08-12	2.0415
2021-08-11	2.0686
2021-08-10	1.8778
2021-08-09	1.7574
2021-08-08	1.9133
2021-08-07	1.9231
2021-08-06	1.7712
2021-08-05	1.6241
2021-08-04	1.5673
2021-08-03	1.6259
2021-08-02	1.6590
2021-08-01	1.7085
2021-07-31	1.6975
2021-07-30	1.6213
2021-07-29	1.5410
2021-07-28	1.5728
2021-07-27	1.5326
2021-07-26	1.5249
2021-07-25	1.5472
2021-07-24	1.6038
2021-07-23	1.5431
2021-07-22	1.4469
2021-07-21	1.2808
2021-07-20	1.3412
2021-07-19	1.4138
2021-07-18	1.4262
2021-07-17	1.4180
2021-07-16	1.5032
2021-07-15	1.5974
2021-07-14	1.6023
2021-07-13	1.6825
2021-07-12	1.7566
2021-07-11	1.7490
2021-07-10	1.7677
2021-07-09	1.7532
2021-07-08	1.9449
2021-07-07	1.9673
2021-07-06	1.7995
2021-07-05	1.8409
2021-07-04	1.7568
2021-07-03	1.6610
2021-07-02	1.6996
2021-07-01	1.8153
2021-06-30	1.7917
2021-06-29	1.6088
2021-06-28	1.5850
2021-06-27	1.4905
2021-06-26	1.4451
2021-06-25	1.6811
2021-06-24	1.5053
2021-06-23	1.4003
2021-06-22	1.4483
2021-06-21	1.9245
2021-06-20	1.8609
2021-06-19	1.9257
2021-06-18	2.0990
2021-06-17	2.0692
2021-06-16	2.2396
2021-06-15	2.2674
2021-06-14	2.2051
2021-06-13	2.0832
2021-06-12	2.1575
2021-06-11	2.2652
2021-06-10	2.5253
2021-06-09	2.3231
2021-06-08	2.1521
2021-06-07	2.4590
2021-06-06	2.5318
2021-06-05	2.6967
2021-06-04	2.5025
2021-06-03	2.3334
2021-06-02	2.0490
2021-06-01	1.9621
2021-05-31	1.6791
2021-05-30	1.7408
2021-05-29	1.5899
2021-05-28	1.7526
2021-05-27	1.8945
2021-05-26	1.6145
2021-05-25	1.6262
2021-05-24	1.3215
2021-05-23	1.6306
2021-05-22	1.8475
2021-05-21	2.2040
2021-05-20	1.9470
2021-05-19	3.4945
2021-05-18	3.0775
2021-05-17	3.2729
2021-05-16	3.2114
2021-05-15	3.6732
2021-05-14	3.3617
2021-05-13	3.3144
2021-05-12	3.3120
2021-05-11	3.0886
2021-05-10	3.4442
2021-05-09	3.5664
2021-05-08	3.6554
2021-05-07	3.2425
2021-05-06	3.0937
2021-05-05	2.8242
2021-05-04	3.2443
2021-05-03	3.2792
2021-05-02	3.4033
2021-05-01	3.3300
2021-04-30	3.0199
2021-04-29	3.0383
2021-04-28	3.1288
2021-04-27	2.7776
2021-04-26	2.3815
2021-04-25	2.3758
2021-04-24	2.6410
2021-04-23	2.7636
2021-04-22	2.8890
2021-04-21	3.0286
2021-04-20	2.8197
2021-04-19	3.2235
2021-04-18	3.8270
2021-04-17	3.9199
2021-04-16	4.0276
2021-04-15	3.1642
2021-04-14	3.1177
2021-04-13	3.0334
2021-04-12	3.1192
2021-04-11	2.9622
2021-04-10	2.9824
2021-04-09	
2021-04-08	
2021-04-07	
2021-04-06	
2021-04-05	
2021-04-04	
2021-04-03	
2021-04-02	
2021-04-01	
2021-03-31	
2021-03-30	
2021-03-29	
2021-03-28	
2021-03-27	
2021-03-26	
2021-03-25	
2021-03-24	
2021-03-23	
2021-03-22	
2021-03-21	
2021-03-20	
2021-03-19	
2021-03-18	
2021-03-17	
2021-03-16	
2021-03-15	
2021-03-14	
2021-03-13	
2021-03-12	
2021-03-11	
2021-03-10	
2021-03-09	
2021-03-08	
2021-03-07	
2021-03-06	
2021-03-05	
2021-03-04	
2021-03-03	
2021-03-02	
2021-03-01	
2021-02-28	
2021-02-27	
2021-02-26	
2021-02-25	
2021-02-24	
2021-02-23	
2021-02-22	
2021-02-21	
2021-02-20	
2021-02-19	
2021-02-18	
2021-02-17	
2021-02-16	
2021-02-15	
2021-02-14	
2021-02-13	
2021-02-12	
2021-02-11	
2021-02-10	
2021-02-09	
2021-02-08	
2021-02-07	
2021-02-06	
2021-02-05	
2021-02-04	
2021-02-03	
2021-02-02	
2021-02-01	
2021-01-31	
2021-01-30	
2021-01-29	
2021-01-28	
2021-01-27	
2021-01-26	
2021-01-25	
2021-01-24	
2021-01-23	
2021-01-22	
2021-01-21	
2021-01-20	
2021-01-19	
2021-01-18	
2021-01-17	
2021-01-16	
2021-01-15	
2021-01-14	
2021-01-13	
2021-01-12	
2021-01-11	
2021-01-10	
2021-01-09	
2021-01-08	
2021-01-07	
2021-01-06	
2021-01-05	
2021-01-04	
2021-01-03	
2021-01-02	
2021-01-01	
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
